Activity,time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
Driving,1.77566E+18,92.01757031,-0.424382716,0.098822333,0.052620549,0.898534715,0.224137783,-0.010685997,0.88369751
Driving,1.77566E+18,94.11018799,-0.436297536,0.140946165,0.096808381,0.883406341,0.340422839,-0.048071858,0.925744593
Driving,1.77566E+18,96.20311084,-0.435816318,0.150945812,0.108957477,0.880572379,0.369840294,-0.060357228,0.930450499
Driving,1.77566E+18,98.29581738,-0.438478976,0.162652388,0.134390265,0.873624444,0.415631443,-0.092304952,0.949822128
Driving,1.77566E+18,100.3886472,-0.404533416,0.112638295,0.113430277,0.900443792,0.30105266,-0.113386065,0.861692607
Driving,1.77566E+18,102.4816604,-0.338094741,0.078753896,0.144072831,0.926678419,0.251790553,-0.215428278,0.727047503
Driving,1.77566E+18,104.5745515,-0.412653714,0.132683501,0.097274408,0.895907223,0.324352562,-0.064838432,0.873877585
Driving,1.77566E+18,106.6675032,-0.418795824,0.116449937,0.090026513,0.896071851,0.288673133,-0.06384632,0.883689821
Driving,1.77566E+18,108.7605186,-0.43017897,0.124723017,0.080131255,0.890488267,0.295536309,-0.035412844,0.905315876
Driving,1.77566E+18,110.8535327,-0.416663349,0.119355746,0.068581484,0.898578107,0.275188774,-0.023791553,0.871657789
Driving,1.77566E+18,112.9465166,-0.42137441,0.108505525,0.058532242,0.89846772,0.246827081,-0.013736188,0.878774345
Driving,1.77566E+18,114.9550422,-0.419314444,0.109791033,0.05442312,0.899532974,0.245628759,-0.005836885,0.873120904
Driving,1.77566E+18,116.9675208,-0.419304252,0.116463639,0.051827565,0.898851573,0.25560689,0.004496836,0.872384489
Driving,1.77566E+18,119.0846421,-0.42212525,0.111716017,0.058880467,0.8976987,0.252990901,-0.01139778,0.880548775
Driving,1.77566E+18,121.1776858,-0.38582781,0.054975748,0.067888476,0.918425679,0.154504567,-0.082371809,0.801800489
Driving,1.77566E+18,123.1862234,-0.347810566,0.029498547,0.150058165,0.925008237,0.165236086,-0.260010034,0.740960181
Driving,1.77566E+18,125.1987019,-0.373135835,0.016515533,0.20642367,0.904370546,0.198524728,-0.369384915,0.81983465
Driving,1.77566E+18,127.2349836,-0.504864156,0.110796593,0.124927871,0.846893966,0.320858508,-0.099892914,1.091325045
Driving,1.77566E+18,129.3280576,-0.52685529,0.144744694,0.120982639,0.828755558,0.37666443,-0.048029512,1.141695619
Driving,1.77566E+18,131.3364739,-0.523999214,0.152007923,0.120054901,0.829400539,0.387925208,-0.039853677,1.134750485
Driving,1.77566E+18,133.3489827,-0.528664827,0.140558839,0.107571229,0.830171824,0.354658782,-0.029992681,1.13947463
Driving,1.77566E+18,135.3816023,-0.520312846,0.111800954,0.115288265,0.838739336,0.31354481,-0.077127099,1.122695923
Driving,1.77566E+18,137.4745845,-0.538940787,0.136662856,0.085618988,0.82676208,0.323901594,0.005733327,1.154439569
Driving,1.77566E+18,139.5676277,-0.562745452,0.193715155,0.010588602,0.803542137,0.336270452,0.202386692,1.187429309
Driving,1.77566E+18,141.6606404,-0.493127227,0.116125748,0.090061747,0.857455194,0.292345256,-0.039928898,1.049706578
Driving,1.77566E+18,143.7537449,-0.485822558,0.109494053,0.09761072,0.861661017,0.288046688,-0.061864804,1.035759687
Driving,1.77566E+18,145.8467881,-0.487812072,0.115992986,0.10953299,0.858246863,0.311855227,-0.07491719,1.045475721
Driving,1.77566E+18,147.9398618,-0.50005585,0.112991989,0.067699887,0.855916798,0.264194727,-0.002886337,1.057875991
Driving,1.77566E+18,150.0328745,-0.496739924,0.12739037,0.085794002,0.854201615,0.307764977,-0.020012328,1.056553006
Driving,1.77566E+18,152.1260784,-0.507502615,0.146313503,0.07392703,0.845912755,0.328540444,0.023439482,1.07687521
Driving,1.77566E+18,154.2190608,-0.49521327,0.132654771,0.08488518,0.854377627,0.316009432,-0.013663613,1.052774072
Driving,1.77566E+18,156.3119822,-0.457156479,0.138963267,0.115828507,0.870793283,0.356390744,-0.074739009,0.980343044
Driving,1.77566E+18,158.4048423,-0.455640316,0.12623322,0.099560335,0.875525534,0.31763196,-0.059336152,0.969204843
Driving,1.77566E+18,160.4977029,-0.480778545,0.168961018,0.077762179,0.856888235,0.373084635,0.029202826,1.017100692
Driving,1.77566E+18,162.5905938,-0.467796206,0.1583599,0.081415355,0.865713894,0.357965469,0.007195579,0.98952049
Driving,1.77566E+18,164.6835149,-0.459612131,0.127980098,0.119952284,0.870625854,0.341078192,-0.09135171,0.987193704
Driving,1.77566E+18,166.776583,-0.453028053,0.146506935,0.109221302,0.872566402,0.363159955,-0.057894498,0.968396068
Driving,1.77566E+18,168.7882981,-0.464186311,0.147751167,0.090108901,0.868666232,0.347354472,-0.019382201,0.984923601
Driving,1.77566E+18,170.8008984,-0.473147571,0.14617534,0.082436472,0.864851654,0.337206513,-0.004265634,1.00193131
Driving,1.77566E+18,172.9054634,-0.471174628,0.137720376,0.065539889,0.868753254,0.305835038,0.01590538,0.991461754
Driving,1.77566E+18,174.9979258,-0.460455596,0.124498062,0.08755511,0.874536991,0.303233862,-0.038498219,0.975148439
Driving,1.77566E+18,177.0904492,-0.473220676,0.101252995,0.068667367,0.872407496,0.24414514,-0.02398413,0.996969223
Driving,1.77566E+18,179.183125,-0.471388876,0.103831679,0.044581208,0.874656618,0.225617871,0.019905012,0.986371994
Driving,1.77566E+18,181.2758318,-0.544680417,0.177599922,-0.014716101,0.819490731,0.285673559,0.219344452,1.14155066
Driving,1.77566E+18,183.3684465,-0.49450019,0.096930422,0.030399792,0.863220692,0.198905066,0.043394383,1.036110759
Driving,1.77566E+18,185.4611531,-0.416227281,0.059168987,0.028335696,0.906890869,0.131284907,-0.002139276,0.860701919
Driving,1.77566E+18,187.5540122,-0.419632286,0.028499806,-0.009373441,0.90719837,0.043894019,0.040937454,0.865598142
Driving,1.77566E+18,189.6467188,-0.393639088,0.016939329,-0.026395949,0.918729901,0.010364403,0.061876934,0.809274673
Driving,1.77566E+18,191.7396389,-0.409768254,0.051447727,-0.006853529,0.910711944,0.088338077,0.054673705,0.843195736
Driving,1.77566E+18,193.832376,-0.445279002,0.097828358,0.032695781,0.889430881,0.204651415,0.028964605,0.925334394
Driving,1.77566E+18,195.9250095,-0.447680056,0.112368375,0.047808066,0.885816157,0.244335383,0.01591252,0.933942139
Driving,1.77566E+18,197.9252493,-0.454603493,0.113404058,0.048682593,0.882102847,0.246866733,0.017222511,0.949588656
Driving,1.77566E+18,199.9373601,-0.453118235,0.137041435,0.072797015,0.877840638,0.311592013,-0.003616423,0.953573525
Driving,1.77566E+18,202.0746084,-0.454981506,0.188542366,0.125571683,0.861205816,0.454989403,-0.044734467,0.982430518
Driving,1.77566E+18,204.1676516,-0.484983772,0.203524649,0.076482885,0.847064853,0.433390826,0.067892514,1.025024295
Driving,1.77566E+18,206.1761289,-0.504564703,0.184057832,0.098678812,0.837734878,0.420314908,0.020406231,1.079859734
Driving,1.77566E+18,208.1884238,-0.46252206,0.152017906,0.090750933,0.86875093,0.355576277,-0.017057471,0.98152411
Driving,1.77566E+18,210.2408184,-0.443633169,0.159577668,0.101472698,0.876029611,0.378863961,-0.036206182,0.944472909
Driving,1.77566E+18,212.3336438,-0.453430712,0.160658717,0.089374699,0.872124791,0.369659692,-0.010196758,0.960811198
Driving,1.77566E+18,214.3461829,-0.445710123,0.134411231,0.07199575,0.882095575,0.306069762,-0.007197435,0.93684423
Driving,1.77566E+18,216.3580503,-0.446191609,0.126159251,0.076933309,0.882654011,0.295734525,-0.023230676,0.939554334
Driving,1.77566E+18,218.3939165,-0.438017696,0.112081692,0.074684165,0.888819814,0.268022597,-0.034580901,0.920418024
Driving,1.77566E+18,220.486531,-0.45247522,0.101865381,0.045152251,0.884788632,0.222979039,0.012283031,0.944066584
Driving,1.77566E+18,222.5792065,-0.460363865,0.086149774,0.044013295,0.882443249,0.193779588,0.001642012,0.961541355
Driving,1.77566E+18,224.6720652,-0.447733909,0.078869253,0.019201688,0.890474737,0.158423215,0.036435705,0.928883433
Driving,1.77566E+18,226.7650457,-0.441257894,0.067259431,0.026754908,0.894456208,0.144444138,0.011495575,0.91575563
Driving,1.77566E+18,228.8582507,-0.425482869,0.043468565,0.000835509,0.903921604,0.079428785,0.035487238,0.8784706
Driving,1.77566E+18,230.9512915,-0.438052595,0.067793913,0.02689359,0.895985961,0.145569071,0.011202276,0.908648968
Driving,1.77566E+18,233.0437222,-0.454435766,0.171612322,0.128853783,0.864542782,0.427691191,-0.066875495,0.982420981
Driving,1.77566E+18,235.1367629,-0.480271459,0.17787531,0.145441592,0.846490622,0.457938641,-0.075444572,1.049749732
Driving,1.77566E+18,237.2298345,-0.472359478,0.18524535,0.149827182,0.848594546,0.47504741,-0.079363562,1.035072803
Driving,1.77566E+18,239.3227534,-0.471726507,0.15816021,0.125987932,0.858246148,0.401961893,-0.067090914,1.018807173
Driving,1.77566E+18,241.4157214,-0.472618252,0.16454421,0.129298031,0.856060386,0.416776657,-0.065888308,1.022822976
Driving,1.77566E+18,243.5083672,-0.468882859,0.156108558,0.129183725,0.859703839,0.401370287,-0.075798787,1.014036536
Driving,1.77566E+18,245.6015015,-0.450912476,0.129164696,0.114709727,0.875691831,0.337199897,-0.084517382,0.965421259
Driving,1.77566E+18,247.6945442,-0.449532062,0.14119032,0.11270418,0.874805093,0.356737554,-0.070307136,0.962036908
Driving,1.77566E+18,249.7874038,-0.441681236,0.132859856,0.097388469,0.881919146,0.326624662,-0.054440998,0.93757689
Driving,1.77566E+18,251.8801233,-0.4647623,0.10024111,0.075381309,0.87650758,0.248530403,-0.038977858,0.979966521
Driving,1.77566E+18,253.9730127,-0.46318835,0.09193413,0.05214211,0.879935145,0.211677194,-0.006597761,0.969771743
Driving,1.77566E+18,256.0658413,-0.454957932,0.050126117,0.027368421,0.888679683,0.114243954,-0.003032976,0.946494162
Driving,1.77566E+18,258.1587307,-0.464828163,0.051445249,0.020824829,0.88365972,0.110511631,0.011022501,0.967892587
Driving,1.77566E+18,260.2512539,-0.479202479,0.056184914,0.008086196,0.875867009,0.106455527,0.03969346,0.999140561
Driving,1.77566E+18,262.3437979,-0.478514642,0.142728999,0.101072639,0.860486209,0.349684238,-0.037356079,1.0216254
Driving,1.77566E+18,264.436261,-0.540872872,0.161149055,0.140870929,0.813414395,0.428133488,-0.054878119,1.185547709
Driving,1.77566E+18,266.5290901,-0.579550624,0.150619447,0.134505719,0.7895208,0.405003339,-0.03781594,1.274199367
Driving,1.77566E+18,268.6217668,-0.582687855,0.132028267,0.134357199,0.790564001,0.374662578,-0.058606941,1.281439424
Driving,1.77566E+18,270.6301787,-0.55234313,0.117358163,0.112405241,0.817624152,0.32208702,-0.05419305,1.197055817
