Activity,time,seconds_elapsed,dBFS
Driving,1.77566E+18,14.438,-17.98762972
Driving,1.77566E+18,14.547,-19.90168354
Driving,1.77566E+18,14.647,-17.78603405
Driving,1.77566E+18,14.75599976,-19.28705632
Driving,1.77566E+18,14.85600024,-17.61717317
Driving,1.77566E+18,14.965,-17.35325262
Driving,1.77566E+18,15.073,-17.7123897
Driving,1.77566E+18,15.182,-15.70924791
Driving,1.77566E+18,15.281,-18.28709907
Driving,1.77566E+18,15.39,-17.68797969
Driving,1.77566E+18,15.498,-17.66769029
Driving,1.77566E+18,15.607,-18.81422195
Driving,1.77566E+18,15.707,-17.92269211
Driving,1.77566E+18,15.81600024,-17.84995424
Driving,1.77566E+18,15.925,-17.42981537
Driving,1.77566E+18,16.03200024,-18.47408884
Driving,1.77566E+18,16.133,-17.25027587
Driving,1.77566E+18,16.241,-16.22572329
Driving,1.77566E+18,16.35,-17.67985824
Driving,1.77566E+18,16.459,-19.72269367
Driving,1.77566E+18,16.56800024,-15.5521635
Driving,1.77566E+18,16.66799976,-15.37604964
Driving,1.77566E+18,16.777,-16.15392454
Driving,1.77566E+18,16.877,-20.89464503
Driving,1.77566E+18,16.985,-17.67377213
Driving,1.77566E+18,17.094,-16.47296313
Driving,1.77566E+18,17.203,-18.48966892
Driving,1.77566E+18,17.303,-18.05093824
Driving,1.77566E+18,17.41199976,-14.88286477
Driving,1.77566E+18,17.51200024,-19.01304593
Driving,1.77566E+18,17.621,-16.4254077
Driving,1.77566E+18,17.729,-15.42757031
Driving,1.77566E+18,17.837,-15.9088571
Driving,1.77566E+18,17.937,-18.11257824
Driving,1.77566E+18,18.047,-16.5742212
Driving,1.77566E+18,18.147,-19.06763703
Driving,1.77566E+18,18.255,-15.45109019
Driving,1.77566E+18,18.36399976,-18.16606954
Driving,1.77566E+18,18.47200024,-16.99336261
Driving,1.77566E+18,18.57999976,-17.74095502
Driving,1.77566E+18,18.689,-19.06525636
Driving,1.77566E+18,18.79,-12.96999727
Driving,1.77566E+18,18.899,-14.25189137
Driving,1.77566E+18,19.007,-14.55527433
Driving,1.77566E+18,19.115,-19.25780266
Driving,1.77566E+18,19.22400024,-15.67373595
Driving,1.77566E+18,19.33199976,-18.09978919
Driving,1.77566E+18,19.441,-17.15041489
Driving,1.77566E+18,19.542,-14.89611107
Driving,1.77566E+18,19.651,-15.65603427
Driving,1.77566E+18,19.751,-17.45153257
Driving,1.77566E+18,19.85999976,-17.27542154
Driving,1.77566E+18,19.96000024,-18.95644477
Driving,1.77566E+18,20.06799976,-19.16340305
Driving,1.77566E+18,20.16800024,-17.65756333
Driving,1.77566E+18,20.277,-17.69001124
Driving,1.77566E+18,20.377,-19.00358675
Driving,1.77566E+18,20.48399976,-19.03199525
Driving,1.77566E+18,20.594,-16.46413691
Driving,1.77566E+18,20.702,-16.68933925
Driving,1.77566E+18,20.811,-17.77576825
Driving,1.77566E+18,20.919,-20.24109235
Driving,1.77566E+18,21.019,-20.45911342
Driving,1.77566E+18,21.129,-17.77371655
Driving,1.77566E+18,21.23599976,-18.68795465
Driving,1.77566E+18,21.345,-17.03848421
Driving,1.77566E+18,21.446,-17.92686701
Driving,1.77566E+18,21.554,-19.28217386
Driving,1.77566E+18,21.663,-17.67377213
Driving,1.77566E+18,21.77199976,-18.01711628
Driving,1.77566E+18,21.88000024,-18.28927571
Driving,1.77566E+18,21.98799976,-15.51412305
Driving,1.77566E+18,22.089,-17.6616127
Driving,1.77566E+18,22.198,-12.92292554
Driving,1.77566E+18,22.306,-13.60126457
Driving,1.77566E+18,22.415,-16.81885928
Driving,1.77566E+18,22.515,-16.06921654
Driving,1.77566E+18,22.623,-15.59196694
Driving,1.77566E+18,22.723,-10.5652436
Driving,1.77566E+18,22.833,-8.526888506
Driving,1.77566E+18,22.933,-15.28623219
Driving,1.77566E+18,23.041,-16.83909968
Driving,1.77566E+18,23.15,-16.39559842
Driving,1.77566E+18,23.258,-16.91310132
Driving,1.77566E+18,23.358,-19.27485532
Driving,1.77566E+18,23.46799976,-19.66384075
Driving,1.77566E+18,23.57600024,-20.13813924
Driving,1.77566E+18,23.685,-20.86823967
Driving,1.77566E+18,23.785,-17.941495
Driving,1.77566E+18,23.893,-18.15320155
Driving,1.77566E+18,23.994,-17.73686851
Driving,1.77566E+18,24.102,-15.27699352
Driving,1.77566E+18,24.211,-17.54294291
Driving,1.77566E+18,24.319,-15.93537892
Driving,1.77566E+18,24.41999976,-18.19401575
Driving,1.77566E+18,24.529,-17.87482438
Driving,1.77566E+18,24.63599976,-16.01710945
Driving,1.77566E+18,24.737,-17.91643351
Driving,1.77566E+18,24.846,-17.11991799
Driving,1.77566E+18,24.955,-17.1047096
Driving,1.77566E+18,25.055,-16.5136797
Driving,1.77566E+18,25.16399976,-16.6441895
Driving,1.77566E+18,25.26400024,-16.88527677
Driving,1.77566E+18,25.37199976,-17.13134178
