Activity,time,seconds_elapsed,dBFS
Classroom,1.78E+18,14.9,-39.18268361
Classroom,1.78E+18,15.015,-42.0763395
Classroom,1.78E+18,15.12999976,-44.33167209
Classroom,1.78E+18,15.24600024,-46.1722161
Classroom,1.78E+18,15.36199976,-40.28754838
Classroom,1.78E+18,15.477,-39.01541234
Classroom,1.78E+18,15.592,-41.61735554
Classroom,1.78E+18,15.707,-41.90961865
Classroom,1.78E+18,15.823,-37.3806591
Classroom,1.78E+18,15.93799976,-43.42088815
Classroom,1.78E+18,16.053,-41.33460722
Classroom,1.78E+18,16.168,-38.0107893
Classroom,1.78E+18,16.283,-33.03038608
Classroom,1.78E+18,16.39800024,-33.60761159
Classroom,1.78E+18,16.51399976,-39.23107309
Classroom,1.78E+18,16.629,-33.73553569
Classroom,1.78E+18,16.744,-30.63620788
Classroom,1.78E+18,16.859,-36.73836604
Classroom,1.78E+18,16.975,-32.29047227
Classroom,1.78E+18,17.08999976,-31.49840392
Classroom,1.78E+18,17.20600024,-33.3326396
Classroom,1.78E+18,17.32,-33.13798967
Classroom,1.78E+18,17.436,-34.21232005
Classroom,1.78E+18,17.55000024,-38.39880919
Classroom,1.78E+18,17.66599976,-42.9616152
Classroom,1.78E+18,17.781,-39.75613561
Classroom,1.78E+18,17.896,-40.94178701
Classroom,1.78E+18,18.012,-38.78190662
Classroom,1.78E+18,18.127,-37.47925141
Classroom,1.78E+18,18.243,-35.83962018
Classroom,1.78E+18,18.35800024,-35.74165798
Classroom,1.78E+18,18.473,-36.29465928
Classroom,1.78E+18,18.588,-39.20684465
Classroom,1.78E+18,18.704,-41.09077677
Classroom,1.78E+18,18.819,-40.85360464
Classroom,1.78E+18,18.935,-39.45222508
Classroom,1.78E+18,19.04999976,-41.12088387
Classroom,1.78E+18,19.165,-37.28317334
Classroom,1.78E+18,19.281,-36.68390888
Classroom,1.78E+18,19.396,-38.69023411
Classroom,1.78E+18,19.511,-37.30258316
Classroom,1.78E+18,19.62599976,-37.70017612
