Activity,time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
Classroom,1.77575E+18,88.81343872,-0.336594462,0.319735587,-0.816270649,0.343766838,-2.591047764,0.889022291,-2.662377357
Classroom,1.77575E+18,90.90587061,-0.336235464,0.319351315,-0.816334963,0.344322085,-2.591671467,0.889756978,-2.663181782
Classroom,1.77575E+18,92.99830225,-0.33559531,0.318161726,-0.816874862,0.344767064,-2.592074633,0.88958472,-2.665895462
Classroom,1.77575E+18,95.09030933,-0.335599154,0.318104416,-0.816884995,0.344792426,-2.591992378,0.88960439,-2.666074276
Classroom,1.77575E+18,97.18246655,-0.336455613,0.318115711,-0.816619754,0.344575405,-2.589455843,0.88962841,-2.667120934
Classroom,1.77575E+18,99.27437988,-0.335475683,0.315560162,-0.817535877,0.345706493,-2.589168787,0.889854968,-2.673537016
Classroom,1.77575E+18,101.3661707,-0.335610956,0.316219777,-0.817337275,0.345441997,-2.589593887,0.889788866,-2.671731949
Classroom,1.77575E+18,103.4580837,-0.335325152,0.316465735,-0.817447424,0.345233738,-2.590736151,0.889344037,-2.670570135
Classroom,1.77575E+18,105.5497869,-0.335327268,0.316437304,-0.817492604,0.34515056,-2.590685368,0.889149547,-2.670627117
Classroom,1.77575E+18,107.6417908,-0.335540712,0.316705585,-0.817381263,0.34496066,-2.590382099,0.889034986,-2.670078754
Classroom,1.77575E+18,109.7334585,-0.335317165,0.316848785,-0.817404807,0.34499076,-2.591228962,0.889066577,-2.669376612
Classroom,1.77575E+18,111.8250654,-0.33573547,0.317964464,-0.816976964,0.344570577,-2.59138751,0.889118016,-2.666588068
Classroom,1.77575E+18,113.9167332,-0.335269272,0.316521734,-0.817437649,0.345259875,-2.590975523,0.889404595,-2.670342684
Classroom,1.77575E+18,116.0085049,-0.335544795,0.317037404,-0.817232311,0.345004708,-2.590800524,0.889343679,-2.669143915
Classroom,1.77575E+18,118.1002952,-0.335216969,0.31617409,-0.817564845,0.345328003,-2.590689421,0.88929832,-2.671295404
Classroom,1.77575E+18,120.1921467,-0.335495949,0.316942424,-0.817270041,0.345050067,-2.590826988,0.889352381,-2.669366598
Classroom,1.77575E+18,122.2841204,-0.335674167,0.317431748,-0.81709975,0.344830334,-2.590909004,0.889296651,-2.668124914
Classroom,1.77575E+18,124.3765818,-0.335572422,0.317755908,-0.81706208,0.344720125,-2.591615438,0.88921237,-2.66701889
Classroom,1.77575E+18,126.4688303,-0.335470319,0.317529649,-0.817204893,0.344689459,-2.591622829,0.888945103,-2.667523384
Classroom,1.77575E+18,128.5609136,-0.335670173,0.318279445,-0.816924214,0.344468355,-2.591974735,0.889065027,-2.665560007
