accelerometer_x_mean
accelerometer_y_mean
accelerometer_z_mean
accelerometer_magnitude_mean
accelerometer_magnitude_std
accelerometer_magnitude_max
gyroscope_x_mean
gyroscope_y_mean
gyroscope_z_mean
gyroscope_magnitude_mean
gyroscope_magnitude_std
gyroscope_magnitude_max
microphone_dbfs_mean
microphone_dbfs_max
orientation_qx
orientation_qy
orientation_qz
orientation_qw
orientation_roll
orientation_pitch
orientation_yaw
orientation_1s_qx
orientation_1s_qy
orientation_1s_qz
orientation_1s_qw
orientation_1s_roll
orientation_1s_pitch
orientation_1s_yaw
totalacceleration_x_mean
totalacceleration_y_mean
totalacceleration_z_mean
totalacceleration_magnitude_mean
totalacceleration_magnitude_std
totalacceleration_magnitude_max
wifi_wifi_count
wifi_wifi_max_rssi
